0, 0 %, 3 MiB, 45.24 W
1, 0 %, 3 MiB, 43.30 W
2, 0 %, 3 MiB, 41.33 W
3, 0 %, 3 MiB, 45.24 W
---
0, 0 %, 3 MiB, 45.24 W
1, 0 %, 3 MiB, 43.30 W
2, 0 %, 3 MiB, 41.33 W
3, 0 %, 3 MiB, 45.24 W
---
0, 0 %, 3 MiB, 45.24 W
1, 0 %, 3 MiB, 43.33 W
2, 0 %, 3 MiB, 41.33 W
3, 0 %, 3 MiB, 45.24 W
---
0, 44 %, 1371 MiB, 75.65 W
1, 0 %, 3 MiB, 43.30 W
2, 0 %, 3 MiB, 41.30 W
3, 0 %, 3 MiB, 45.21 W
---
0, 42 %, 2513 MiB, 75.65 W
1, 0 %, 3 MiB, 43.30 W
2, 0 %, 3 MiB, 41.30 W
3, 0 %, 3 MiB, 45.21 W
---
0, 41 %, 3663 MiB, 74.20 W
1, 0 %, 3 MiB, 43.27 W
2, 0 %, 3 MiB, 41.28 W
3, 0 %, 3 MiB, 45.18 W
---
0, 0 %, 4791 MiB, 75.65 W
1, 0 %, 3 MiB, 43.27 W
2, 0 %, 3 MiB, 41.28 W
3, 0 %, 3 MiB, 45.18 W
---
0, 0 %, 6043 MiB, 71.82 W
1, 0 %, 3 MiB, 43.30 W
2, 0 %, 3 MiB, 41.33 W
3, 0 %, 3 MiB, 45.24 W
---
0, 40 %, 7275 MiB, 74.68 W
1, 0 %, 3 MiB, 43.27 W
2, 0 %, 3 MiB, 41.28 W
3, 0 %, 3 MiB, 45.18 W
---
0, 41 %, 8361 MiB, 75.17 W
1, 0 %, 3 MiB, 43.27 W
2, 0 %, 3 MiB, 41.28 W
3, 0 %, 3 MiB, 45.18 W
---
0, 15 %, 9367 MiB, 75.12 W
1, 0 %, 3 MiB, 43.27 W
2, 0 %, 3 MiB, 41.28 W
3, 0 %, 3 MiB, 45.18 W
---
0, 41 %, 10427 MiB, 75.60 W
1, 0 %, 3 MiB, 43.27 W
2, 0 %, 3 MiB, 41.28 W
3, 0 %, 3 MiB, 45.18 W
---
0, 27 %, 11391 MiB, 74.63 W
1, 0 %, 3 MiB, 43.27 W
2, 0 %, 3 MiB, 41.28 W
3, 0 %, 3 MiB, 45.18 W
---
0, 0 %, 12493 MiB, 71.82 W
1, 0 %, 3 MiB, 43.30 W
2, 0 %, 3 MiB, 41.33 W
3, 0 %, 3 MiB, 45.24 W
---
0, 40 %, 13637 MiB, 75.12 W
1, 0 %, 3 MiB, 42.78 W
2, 0 %, 3 MiB, 41.28 W
3, 0 %, 3 MiB, 45.18 W
---
